,AUTHORS,TITLE,YEAR
0,Whitney R. Smith,Implementation Guide for Rapid Integration of an Outpatient Telemedicine Program during the COVID-19 Pandemic,2020
1,Martina Compton,A Feasibility Study of Urgent Implementation of Cystic Fibrosis Multidisciplinary Telemedicine Clinic in the Face of COVID-19 Pandemic: Single-Center Experience,2020
2,Donald RJ Singer,Health policy and technology challenges in responding to the COVID-19 pandemic,2020
3,Ehsan allah Kalteh,COVID-19 and digital epidemiology,2020
4,Jennifer A. Woo Baidal,Zooming Towards a Telehealth Solution for Vulnerable Children with Obesity During COVID‐19,2020
5,Juan Espinoza,A Guide to Chatbots for COVID-19 Screening at Pediatric Health Care Facilities,2020
6,Matthias Weemaes,Laboratory information system requirements to manage the COVID-19 pandemic: a report from the Belgian national reference testing center,2020
7,I. Feeley,Foot and ankle service adaptation in response to COVID-19 and beyond,2020
8,Laura Armitage,Paying SPECIAL consideration to the digital sharing of information during the COVID-19 pandemic and beyond,2020
9,Alan Lee,COVID-19 and the Advancement of Digital Physical Therapist Practice and Telehealth,2020
10,Anita Ramsetty,Impact of the digital divide in the age of COVID-19,2020
11,Qian Liu,Health Communication Through News Media During the Early Stage of the COVID-19 Outbreak in China: Digital Topic Modeling Approach,2020
12,Faheem Khan,An Overview of Signal Processing Techniques for Remote Health Monitoring Using Impulse Radio UWB Transceiver,2020
13,Edward Meinert,Agile Requirements Engineering and Software Planning for a Digital Health Platform to Engage the Effects of Isolation Caused by Social Distancing: Case Study,2020
14,Pol Pérez Sust,Turning the Crisis Into an Opportunity: Digital Health Strategies Deployed During the COVID-19 Outbreak,2020
15,Rebecca A. Krukowski,Measuring weight with e‐scales in clinical and research settings during the COVID‐19 pandemic,2020
16,Ruth S. Weissman,"Access to
            evidence‐based
            care for eating disorders during the
            COVID
            ‐19 crisis",2020
17,Pauline Whelan,Comment on “Digital Mental Health and COVID-19: Using Technology Today to Accelerate the Curve on Access and Quality Tomorrow”: A UK Perspective,2020
18,Iniobong Ekong,COVID-19 Mobile Positioning Data Contact Tracing and Patient Privacy Regulations: Exploratory Search of Global Response Strategies and the Use of Digital Tools in Nigeria,2020
19,Holly Blake,Mitigating the Psychological Impact of COVID-19 on Healthcare Workers: A Digital Learning Package,2020
20,Raquel de M. Barbosa,Chaos game representation dataset of SARS-CoV-2 genome,2020
21,Mattias Kyhlstedt,Diagnostic and digital solutions to address the COVID-19 pandemic: The need for international collaboration to close the gap,2020
22,Thomas G Kannampallil,When Past Isn’t a Prologue: Adapting Informatics Practice During a Pandemic,2020
23,Mohd Javaid,Industry 4.0 technologies and their applications in fighting COVID-19 pandemic,2020
24,Miho J. Tanaka,Telemedicine in the Era of COVID-19,2020
25,Gurjit S. Randhawa,Machine learning using intrinsic genomic signatures for rapid classification of novel pathogens: COVID-19 case study,2020
26,,,
27,Meshari F. Alwashmi,The Use of Digital Health in the Detection and Management of COVID-19,2020
28,Rajvikram Madurai Elavarasan,Restructured society and environment: A review on potential technological strategies to control the COVID-19 pandemic,2020
29,Abdulmunir Azizy,Do Not Forget Afghanistan in Times of COVID-19: Telemedicine and the Internet of Things to Strengthen Planetary Health Systems,2020
30,Sangchul Park,Information Technology–Based Tracing Strategy in Response to COVID-19 in South Korea—Privacy Controversies,2020
31,Joanna L. Hart,Family-Centered Care During the COVID-19 Era,2020
32,Amar Parikh,Cardio-Oncology Care in the Time of COVID-19 and the Role of Telehealth,2020
33,Md. Siddikur Rahman,Defending against the Novel Coronavirus (COVID-19) Outbreak: How Can the Internet of Things (IoT) help to save the World?,2020
34,Wallace Woon Fong Leung,Electrostatic Charged Nanofiber Filter for Filtering Airborne Novel Coronavirus (COVID-19) and Nano-aerosols,2020
35,Vural Özdemir,Special Issue: Digital Health in Times of COVID-19,2020
36,Stephanie Ishack,Applications of 3D Printing Technology to Address COVID-19–Related Supply Shortages,2020
